feature,pearson_r_tan,pearson_p_tan,spearman_r_label,spearman_p_label,corr_selected,lasso_coef,lasso_selected,lasso_alpha,rf_importance,rf_selected,rf_importance_mean,votes,final_selected
TG（甘油三酯）,0.005674348019110077,0.8808734648280478,0.4742854714488153,1.5080686544341894e-40,True,3.856850411061948,True,2.06913808111479,0.3704083693517732,True,0.1,3,True
TC（总胆固醇）,-0.08290301618773152,0.02828835108940925,0.4409225398780826,1.164834866161241e-34,True,2.770218273971863,True,2.06913808111479,0.3623931941035789,True,0.1,3,True
血尿酸,-0.02206619640715387,0.5599981460069541,0.1998995659443709,9.643639631425564e-08,True,0.7244239285459022,True,2.06913808111479,0.15756479011567862,True,0.1,3,True
LDL-C（低密度脂蛋白）,-0.021843481404612838,0.5639663559292231,0.14848024871579513,8.037636527773618e-05,True,0.6534727374600251,True,2.06913808111479,0.056365914379593075,False,0.1,2,True
HDL-C（高密度脂蛋白）,0.030336857129068542,0.42290718140576156,-0.13870253211523229,0.0002323464382199687,True,-0.6455361171426063,True,2.06913808111479,0.032949137376834546,False,0.1,2,True
空腹血糖,-0.02975212037790709,0.4319059821941518,-0.054479678587042224,0.14989845606163352,False,-0.18813589636198602,True,2.06913808111479,0.006957522206470146,False,0.1,1,False
BMI,0.010681530749075555,0.7778593819773474,0.035246937795084456,0.35176613232241727,False,-0.129573472386253,True,2.06913808111479,0.004707158036746622,False,0.1,1,False
活动量表总分（ADL总分+IADL总分）,0.041416853612259996,0.27382423902432995,0.03925939711459575,0.299619565551128,False,0.005449941009789704,True,2.06913808111479,0.0032437245719524684,False,0.1,1,False
ADL总分,-0.021097807175044232,0.5773498423583486,0.042596351190485396,0.2603813491474646,False,0.05661367556317461,True,2.06913808111479,0.0027553844444905924,False,0.1,1,False
IADL总分,0.08062518489590316,0.032940922190154376,0.029631936421850663,0.4337691725195014,False,0.0,False,2.06913808111479,0.0026548054128818287,False,0.1,0,False
