bin,n,mean_pred,event_rate,abs_gap,weight,split
"(0.0126, 0.0424]",15,0.030101460913309442,0.0,0.030101460913309442,0.1,val
"(0.0424, 0.388]",15,0.08941157641246991,0.0,0.08941157641246991,0.1,val
"(0.388, 0.983]",15,0.9400494358357092,0.9333333333333333,0.006716102502375865,0.1,val
"(0.983, 0.987]",15,0.9848154662849838,1.0,0.015184533715016157,0.1,val
"(0.987, 0.991]",15,0.9892782323159455,1.0,0.010721767684054528,0.1,val
"(0.991, 0.994]",15,0.9925349085909277,1.0,0.007465091409072255,0.1,val
"(0.994, 0.995]",15,0.9942652933909069,1.0,0.005734706609093143,0.1,val
"(0.995, 0.997]",15,0.9962486199015966,1.0,0.0037513800984033674,0.1,val
"(0.997, 0.999]",15,0.9979519173346211,1.0,0.0020480826653789252,0.1,val
"(0.999, 1.0]",15,0.9993641400157247,1.0,0.0006358599842752888,0.1,val
"(0.008230000000000001, 0.0506]",15,0.029866410646184914,0.0,0.029866410646184914,0.1,test
"(0.0506, 0.301]",15,0.10864104708403313,0.0,0.10864104708403313,0.1,test
"(0.301, 0.979]",15,0.9299249506888079,0.9333333333333333,0.003408382644525476,0.1,test
"(0.979, 0.984]",15,0.9808416888601073,1.0,0.019158311139892747,0.1,test
"(0.984, 0.992]",15,0.9874280462033667,1.0,0.01257195379663334,0.1,test
"(0.992, 0.994]",15,0.9927057319027336,1.0,0.00729426809726641,0.1,test
"(0.994, 0.996]",15,0.995098905580825,1.0,0.004901094419174967,0.1,test
"(0.996, 0.998]",15,0.9966998887575639,1.0,0.003300111242436121,0.1,test
"(0.998, 0.999]",17,0.9981660427340507,1.0,0.0018339572659492598,0.11333333333333333,test
"(0.999, 1.0]",13,0.9994978041766868,1.0,0.000502195823313234,0.08666666666666667,test
