scenario,sample_id,tan_init,tan_final_6m,tan_reduction_rate,total_cost_6m,is_feasible
baseline,1,64.0,34.01222400000001,0.46855899999999984,1500.0,1
baseline,2,58.0,32.936416618378004,0.4321307479589999,1380.0,1
baseline,3,59.0,29.321896166699002,0.5030187090389999,1680.0,1
baseline,4,56.0,31.80067811429601,0.43213074795899986,1380.0,1
baseline,5,58.0,32.936416618378004,0.4321307479589999,1380.0,1
baseline,9,57.0,39.322577520191984,0.3101302189440003,900.0,1
baseline,11,61.0,30.315858748621004,0.5030187090389999,1680.0,1
baseline,12,63.0,27.318450663566995,0.5663737989910002,1980.0,1
baseline,15,59.0,29.321896166699002,0.5030187090389999,1680.0,1
baseline,29,62.0,32.949342000000016,0.4685589999999997,1500.0,1
baseline,30,59.0,29.321896166699002,0.5030187090389999,1680.0,1
baseline,35,56.0,31.80067811429601,0.43213074795899986,1380.0,1
baseline,36,58.0,32.936416618378004,0.4321307479589999,1380.0,1
baseline,40,63.0,27.318450663566995,0.5663737989910002,1980.0,1
baseline,46,60.0,36.38130008064001,0.39364499865599983,1200.0,1
baseline,49,62.0,26.884824462558,0.5663737989909999,1980.0,1
baseline,51,64.0,27.752076864576,0.566373798991,1980.0,1
baseline,52,60.0,29.818877457659998,0.503018709039,1680.0,1
baseline,53,61.0,30.315858748621004,0.5030187090389999,1680.0,1
baseline,55,61.0,36.987655081984016,0.3936449986559997,1200.0,1
baseline,59,60.0,29.818877457659998,0.503018709039,1680.0,1
baseline,62,58.0,40.01244730124799,0.3101302189440002,900.0,1
baseline,68,63.0,27.318450663566995,0.5663737989910002,1980.0,1
baseline,82,56.0,31.80067811429601,0.43213074795899986,1380.0,1
baseline,85,58.0,32.936416618378004,0.4321307479589999,1380.0,1
baseline,87,64.0,34.01222400000001,0.46855899999999984,1500.0,1
baseline,88,58.0,32.936416618378004,0.4321307479589999,1380.0,1
baseline,92,62.0,32.949342000000016,0.4685589999999997,1500.0,1
baseline,96,55.0,37.942837958079984,0.3101302189440003,900.0,1
baseline,97,56.0,31.80067811429601,0.43213074795899986,1380.0,1
baseline,98,61.0,30.315858748621004,0.5030187090389999,1680.0,1
baseline,100,57.0,32.368547366337005,0.4321307479589999,1380.0,1
baseline,101,55.0,37.942837958079984,0.3101302189440003,900.0,1
baseline,104,58.0,40.01244730124799,0.3101302189440002,900.0,1
baseline,106,56.0,31.80067811429601,0.43213074795899986,1380.0,1
baseline,112,58.0,40.01244730124799,0.3101302189440002,900.0,1
baseline,114,57.0,28.327933584777007,0.5030187090389999,1908.0,1
baseline,116,60.0,36.38130008064001,0.39364499865599983,1200.0,1
baseline,123,63.0,27.318450663566995,0.5663737989910002,1980.0,1
baseline,126,62.0,32.949342000000016,0.4685589999999997,1500.0,1
baseline,128,59.0,35.774945079296,0.39364499865599994,1200.0,1
baseline,134,64.0,34.01222400000001,0.46855899999999984,1500.0,1
baseline,137,64.0,34.01222400000001,0.46855899999999984,1500.0,1
baseline,141,63.0,27.318450663566995,0.5663737989910002,1980.0,1
baseline,142,59.0,29.321896166699002,0.5030187090389999,1680.0,1
baseline,149,62.0,26.884824462558,0.5663737989909999,1980.0,1
baseline,150,58.0,40.01244730124799,0.3101302189440002,900.0,1
baseline,158,63.0,27.318450663566995,0.5663737989910002,1980.0,1
